Team,Conference,Conference_Tier,Latitude,Longitude,City,State,Conf_Avg_NET,Conf_Tournament_Rate,Conf_Tourney_Teams_5yr,Conf_Avg_Tournament_Rate_5yr,Conf_Strength_Score,NET Rank,NET_Rank,Win_Pct,Season,RecordID
Vermont,America East,Low-Major,44.4737365,-73.1941468,Colchester Avenue,,310.9,0.111,5,0.13140000000000002,11.17,227,227,0.625,2025-26,2025-26-Vermont
Bethune-Cookman,SWAC,Low-Major,29.2118536,-81.0319825,640,,315.8,0.083,3,0.0908,9.77,261,261,0.5161290322580645,2025-26,2025-26-Bethune-Cookman
Santa Clara,WCC,Mid-Major,37.3486243,-121.936544,500,,137.4,0.25,9,0.24100000000000002,60.74,40,40,0.7575757575757576,2025-26,2025-26-Santa Clara
Georgia Tech,ACC,Power,33.7760948,-84.3988077,North Avenue Turn Around,,62.0,0.444,19,0.3154,82.29,169,169,0.3548387096774194,2025-26,2025-26-Georgia Tech
Le Moyne,NEC,Low-Major,43.0451,-76.0824,Syracuse,NY,304.0,0.1,4,0.13540000000000002,13.14,290,290,0.45161290322580644,2025-26,2025-26-Le Moyne
Charleston So.,Big South,Low-Major,36.1591665,-115.16161,University Medical Center,,236.7,0.111,3,0.085,32.37,242,242,0.41379310344827586,2025-26,2025-26-Charleston So.
Arizona,Big 12,Power,32.235681,-110.951744,North Olsen Avenue,,48.9,0.5,25,0.557,86.03,3,3,0.9411764705882353,2025-26,2025-26-Arizona
Central Mich.,MAC,Low-Major,43.58355,-84.7746308,1200,,200.5,0.154,3,0.05700000000000001,42.71,280,280,0.27586206896551724,2025-26,2025-26-Central Mich.
Southeastern La.,Southland,Low-Major,30.5182254,-90.4688149,North Magnolia Street,,221.2,0.083,3,0.08020000000000001,36.8,295,295,0.26666666666666666,2025-26,2025-26-Southeastern La.
Norfolk St.,MEAC,Low-Major,40.7453073,-74.1829578,Central Avenue,,330.9,0.125,5,0.1414,5.46,318,318,0.39285714285714285,2025-26,2025-26-Norfolk St.
Oral Roberts,Summit League,Low-Major,36.0508252,-95.9521355,Billy Joe Daugherty Circle,,238.9,0.111,3,0.0786,31.74,311,311,0.23333333333333334,2025-26,2025-26-Oral Roberts
West Ga.,ASUN,Low-Major,33.5757,-85.0988,Carrollton,GA,259.9,0.083,4,0.0816,25.74,298,298,0.43333333333333335,2025-26,2025-26-West Ga.
Furman,SoCon,Low-Major,34.9257744,-82.4385258,3300,,248.3,0.1,1,0.0222,29.06,186,186,0.6129032258064516,2025-26,2025-26-Furman
Hawaii,Big West,Low-Major,21.2982795,-157.8186932,2500,,192.0,0.091,1,0.025,45.14,101,101,0.7333333333333333,2025-26,2025-26-Hawaii
UIW,Southland,Low-Major,29.4688466,-98.4691039,East Hildebrand Avenue,,221.2,0.083,3,0.08020000000000001,36.8,282,282,0.32142857142857145,2025-26,2025-26-UIW
Buffalo,MAC,Low-Major,42.9335571,-78.8845343,1300,,200.5,0.154,3,0.05700000000000001,42.71,195,195,0.5,2025-26,2025-26-Buffalo
UT Arlington,WAC,Low-Major,32.7315155,-97.1171533,500,,181.4,0.143,2,0.045,48.17,161,161,0.5333333333333333,2025-26,2025-26-UT Arlington
Youngstown St.,Horizon,Low-Major,28.5724126,-81.1855099,Alafaya Palms Manufactured Home Community,,221.2,0.091,3,0.089,36.8,219,219,0.41379310344827586,2025-26,2025-26-Youngstown St.
East Carolina,American,Low-Major,35.6328512,-77.4852672,1001,,160.3,0.077,8,0.1528,54.2,267,267,0.3333333333333333,2025-26,2025-26-East Carolina
Portland,WCC,Mid-Major,45.5118121,-122.686121,1825,,137.4,0.25,9,0.24100000000000002,60.74,222,222,0.40625,2025-26,2025-26-Portland
East Texas A&M,Southland,Low-Major,33.2399911,-95.9182528,2200,,221.2,0.083,3,0.08020000000000001,36.8,304,304,0.3,2025-26,2025-26-East Texas A&M
South Dakota,Summit League,Low-Major,42.7913704,-96.9254235,414,,238.9,0.111,3,0.0786,31.74,284,284,0.4482758620689655,2025-26,2025-26-South Dakota
Presbyterian,Big South,Low-Major,34.4627505,-81.8671771,Liberty Street,,236.7,0.111,3,0.085,32.37,260,260,0.4,2025-26,2025-26-Presbyterian
Loyola Maryland,Patriot,Low-Major,39.3483538,-76.6159318,4501,,280.7,0.1,5,0.1538,19.8,328,328,0.3333333333333333,2025-26,2025-26-Loyola Maryland
Massachusetts,MAC,Low-Major,42.3582529,-71.0966272,Dr. Paul Dudley White Path,,200.5,0.154,3,0.05700000000000001,42.71,201,201,0.5,2025-26,2025-26-Massachusetts
Utah St.,Mountain West,Mid-Major,41.7526959,-111.808733,2000 North,,113.7,0.083,17,0.3812,67.51,26,26,0.8181818181818182,2025-26,2025-26-Utah St.
Stonehill,NEC,Low-Major,42.0599777,-71.0793257,320,,304.0,0.1,4,0.13540000000000002,13.14,332,332,0.3225806451612903,2025-26,2025-26-Stonehill
Kent St.,MAC,Low-Major,41.1441814,-81.3398329,Haymaker Parkway,,200.5,0.154,3,0.05700000000000001,42.71,140,140,0.7096774193548387,2025-26,2025-26-Kent St.
Clemson,ACC,Power,34.6686916,-82.8374348,West Queen Street,,62.0,0.444,19,0.3154,82.29,34,34,0.7058823529411765,2025-26,2025-26-Clemson
Alabama St.,SWAC,Low-Major,32.751254,-117.1425131,Egyptian Quarter,,315.8,0.083,3,0.0908,9.77,324,324,0.2903225806451613,2025-26,2025-26-Alabama St.
Northern Colo.,Big Sky,Low-Major,40.4028503,-104.7017242,501,,198.8,0.1,3,0.0708,43.2,150,150,0.5862068965517241,2025-26,2025-26-Northern Colo.
William & Mary,CAA,Low-Major,37.2690934,-76.7220509,Tennis Court,,192.4,0.077,3,0.0756,45.03,129,129,0.6,2025-26,2025-26-William & Mary
UIC,MVC,Mid-Major,41.8748613,-87.6519866,1200,,141.1,0.091,5,0.1096,59.69,110,110,0.53125,2025-26,2025-26-UIC
Abilene Christian,WAC,Low-Major,32.4699728,-99.7073595,1600,,181.4,0.143,2,0.045,48.17,248,248,0.36666666666666664,2025-26,2025-26-Abilene Christian
St. John's (NY),Big East,Power,40.7255421,-73.7919066,Union Turnpike,,67.5,0.273,19,0.487,80.71,15,15,0.8235294117647058,2025-26,2025-26-St. John's (NY)
Western Ky.,CUSA,Low-Major,36.984529,-86.457647,1906,,188.7,0.083,4,0.0954,46.09,160,160,0.5333333333333333,2025-26,2025-26-Western Ky.
Kennesaw St.,CUSA,Low-Major,28.5899425,-81.1743505,College Heights,,188.7,0.083,4,0.0954,46.09,155,155,0.5806451612903226,2025-26,2025-26-Kennesaw St.
Delaware St.,MEAC,Low-Major,32.7609057,-117.1524807,University Heights,,330.9,0.125,5,0.1414,5.46,362,362,0.18518518518518517,2025-26,2025-26-Delaware St.
Niagara,MAAC,Low-Major,43.1366031,-79.0348892,Monteagle Trail,,262.2,0.077,3,0.075,25.09,341,341,0.2413793103448276,2025-26,2025-26-Niagara
Hofstra,CAA,Low-Major,40.7169083,-73.6000225,Belmont Place,,192.4,0.077,3,0.0756,45.03,88,88,0.6875,2025-26,2025-26-Hofstra
Florida A&M,SWAC,Low-Major,30.4227425,-84.2875987,1601,,315.8,0.083,3,0.0908,9.77,312,312,0.4482758620689655,2025-26,2025-26-Florida A&M
Montana St.,Big Sky,Low-Major,43.0348354,-76.1137823,University Neighborhood,,198.8,0.1,3,0.0708,43.2,128,128,0.5172413793103449,2025-26,2025-26-Montana St.
Arkansas St.,Sun Belt,Low-Major,35.8441163,-90.6726325,2105,,226.1,0.071,4,0.0804,35.4,154,154,0.6,2025-26,2025-26-Arkansas St.
Stony Brook,CAA,Low-Major,40.9090809,-73.1205518,100,,192.4,0.077,3,0.0756,45.03,232,232,0.5,2025-26,2025-26-Stony Brook
LIU,NEC,Low-Major,40.6911022,-73.9803965,1,,304.0,0.1,4,0.13540000000000002,13.14,198,198,0.7058823529411765,2025-26,2025-26-LIU
Arizona St.,Big 12,Power,32.7637331,-117.1370956,University Heights,,48.9,0.5,25,0.557,86.03,73,73,0.5151515151515151,2025-26,2025-26-Arizona St.
Idaho St.,Big Sky,Low-Major,46.7278986,-117.1670076,Washington State University,,198.8,0.1,3,0.0708,43.2,236,236,0.3333333333333333,2025-26,2025-26-Idaho St.
UNC Greensboro,SoCon,Low-Major,36.0683549,-79.8105812,1400,,248.3,0.1,1,0.0222,29.06,292,292,0.40625,2025-26,2025-26-UNC Greensboro
Utah,Big 12,Power,40.7628137,-111.8368719,201,,48.9,0.5,25,0.557,86.03,132,132,0.3125,2025-26,2025-26-Utah
Lafayette,Patriot,Low-Major,40.6986698,-75.209255,730,,280.7,0.1,5,0.1538,19.8,323,323,0.3225806451612903,2025-26,2025-26-Lafayette
Drexel,CAA,Low-Major,39.9569305,-75.1899265,3141,,192.4,0.077,3,0.0756,45.03,212,212,0.5,2025-26,2025-26-Drexel
George Washington,Atlantic 10,Mid-Major,38.899865,-77.0474485,Ward 2,,132.2,0.143,5,0.0838,62.23,91,91,0.53125,2025-26,2025-26-George Washington
UTSA,American,Low-Major,29.583,-98.6197,San Antonio,TX,160.3,0.077,8,0.1528,54.2,344,344,0.10714285714285714,2025-26,2025-26-UTSA
North Ala.,ASUN,Low-Major,34.8075226,-87.6816129,1,,259.9,0.083,4,0.0816,25.74,338,338,0.25,2025-26,2025-26-North Ala.
South Fla.,American,Low-Major,28.0599999,-82.4138362,4202,,160.3,0.077,8,0.1528,54.2,45,45,0.7419354838709677,2025-26,2025-26-South Fla.
Brown,Ivy League,Low-Major,41.8186395,-71.4088009,Camp Street,,188.6,0.125,3,0.0822,46.11,296,296,0.28,2025-26,2025-26-Brown
Idaho,Big Sky,Low-Major,46.7237978,-117.0206648,875,,198.8,0.1,3,0.0708,43.2,144,144,0.5625,2025-26,2025-26-Idaho
Ohio St.,Big Ten,Power,40.0056982,-83.0286573,281,,55.7,0.5,32,0.5892,84.09,29,29,0.6363636363636364,2025-26,2025-26-Ohio St.
Ga. Southern,Sun Belt,Low-Major,32.4279,-81.7842,Statesboro,GA,226.1,0.071,4,0.0804,35.4,220,220,0.5428571428571428,2025-26,2025-26-Ga. Southern
Indiana,Big Ten,Power,39.1802358,-86.5093526,Meadowood Connectors,,55.7,0.5,32,0.5892,84.09,41,41,0.5625,2025-26,2025-26-Indiana
Saint Joseph's,Atlantic 10,Mid-Major,39.9965297,-75.2415117,North 54th Street,,132.2,0.143,5,0.0838,62.23,121,121,0.6451612903225806,2025-26,2025-26-Saint Joseph's
Monmouth,CAA,Low-Major,40.2794106,-74.0068022,400,,192.4,0.077,3,0.0756,45.03,168,168,0.5454545454545454,2025-26,2025-26-Monmouth
Southern U.,SWAC,Low-Major,30.5258157,-91.194946,E Street,,315.8,0.083,3,0.0908,9.77,279,279,0.45161290322580644,2025-26,2025-26-Southern U.
Louisiana Tech,CUSA,Low-Major,32.5261061,-92.6481217,305,,188.7,0.083,4,0.0954,46.09,209,209,0.5483870967741935,2025-26,2025-26-Louisiana Tech
Oklahoma St.,Big 12,Power,36.1748847,-95.9912576,University Park,,48.9,0.5,25,0.557,86.03,75,75,0.5757575757575758,2025-26,2025-26-Oklahoma St.
Portland St.,Big Sky,Low-Major,45.5161924,-122.6807637,620,,198.8,0.1,3,0.0708,43.2,146,146,0.6071428571428571,2025-26,2025-26-Portland St.
Seattle U,WCC,Mid-Major,47.6095043,-122.3187983,East Seneca Street,,137.4,0.25,9,0.24100000000000002,60.74,122,122,0.5806451612903226,2025-26,2025-26-Seattle U
Butler,Big East,Power,39.8393056,-86.1703166,West 46th Street,,67.5,0.273,19,0.487,80.71,84,84,0.5,2025-26,2025-26-Butler
Lamar University,Southland,Low-Major,30.0388947,-94.0758929,4400,,221.2,0.083,3,0.08020000000000001,36.8,251,251,0.3448275862068966,2025-26,2025-26-Lamar University
Michigan St.,Big Ten,Power,42.7023794,-84.4803869,426,,55.7,0.5,32,0.5892,84.09,11,11,0.78125,2025-26,2025-26-Michigan St.
Longwood,Big South,Low-Major,37.3090314,-78.4016795,Georgia Street,,236.7,0.111,3,0.085,32.37,266,266,0.4482758620689655,2025-26,2025-26-Longwood
Mercer,SoCon,Low-Major,32.8289341,-83.6506702,Fall Line Freeway,,248.3,0.1,1,0.0222,29.06,182,182,0.5517241379310345,2025-26,2025-26-Mercer
Rhode Island,Atlantic 10,Mid-Major,41.8271038,-71.4063901,Providence County,,132.2,0.143,5,0.0838,62.23,151,151,0.5,2025-26,2025-26-Rhode Island
TCU,Big 12,Power,32.7080148,-97.3611939,West Berry Street,,48.9,0.5,25,0.557,86.03,39,39,0.6666666666666666,2025-26,2025-26-TCU
Denver,Summit League,Low-Major,39.6766157,-104.9623745,2199,,238.9,0.111,3,0.0786,31.74,241,241,0.41379310344827586,2025-26,2025-26-Denver
Eastern Ky.,ASUN,Low-Major,37.7341619,-84.3011984,Roy and Sue Kidd Drive,,259.9,0.083,4,0.0816,25.74,291,291,0.3,2025-26,2025-26-Eastern Ky.
McNeese,Southland,Low-Major,30.1751363,-93.2112786,Jefferson Drive,,221.2,0.083,3,0.08020000000000001,36.8,56,56,0.8387096774193549,2025-26,2025-26-McNeese
Cal Poly,Big West,Low-Major,34.0556686,-117.8239282,Pomona,,192.0,0.091,1,0.025,45.14,225,225,0.3870967741935484,2025-26,2025-26-Cal Poly
Charlotte,American,Low-Major,35.3064945,-80.7349705,9201,,160.3,0.077,8,0.1528,54.2,173,173,0.48484848484848486,2025-26,2025-26-Charlotte
Fresno St.,Mountain West,Mid-Major,36.8209963,-119.7372976,Fresno,,113.7,0.083,17,0.3812,67.51,153,153,0.3870967741935484,2025-26,2025-26-Fresno St.
St. Bonaventure,Atlantic 10,Mid-Major,42.0767249,-78.4816526,Bonaventure Road,,132.2,0.143,5,0.0838,62.23,143,143,0.48484848484848486,2025-26,2025-26-St. Bonaventure
Western Mich.,MAC,Low-Major,42.2832928,-85.6102812,1903,,200.5,0.154,3,0.05700000000000001,42.71,283,283,0.3103448275862069,2025-26,2025-26-Western Mich.
South Carolina St.,MEAC,Low-Major,33.9928841,-81.0268676,Huger Street,,330.9,0.125,5,0.1414,5.46,356,356,0.26666666666666666,2025-26,2025-26-South Carolina St.
Southern Miss.,Sun Belt,Low-Major,31.3286452,-89.3367312,118,,226.1,0.071,4,0.0804,35.4,214,214,0.5151515151515151,2025-26,2025-26-Southern Miss.
Louisiana,Sun Belt,Low-Major,30.4062005,-91.1854129,Iris Street,,226.1,0.071,4,0.0804,35.4,313,313,0.3333333333333333,2025-26,2025-26-Louisiana
Utah Valley,WAC,Low-Major,40.2794106,-111.7178868,800,,181.4,0.143,2,0.045,48.17,85,85,0.7333333333333333,2025-26,2025-26-Utah Valley
Creighton,Big East,Power,41.2658566,-95.9450555,North 17th Street,,67.5,0.273,19,0.487,80.71,83,83,0.46875,2025-26,2025-26-Creighton
Tennessee Tech,OVC,Low-Major,36.1748736,-85.5089051,1,,275.6,0.091,2,0.0422,21.26,308,308,0.35714285714285715,2025-26,2025-26-Tennessee Tech
Wichita St.,American,Low-Major,29.7132371,-95.3507871,Oak Manor,,160.3,0.077,8,0.1528,54.2,74,74,0.6774193548387096,2025-26,2025-26-Wichita St.
Illinois,Big Ten,Power,40.0761545,-88.2233134,Champaign County,,55.7,0.5,32,0.5892,84.09,8,8,0.75,2025-26,2025-26-Illinois
Georgia St.,Sun Belt,Low-Major,32.7484304,-117.144992,Egyptian Quarter,,226.1,0.071,4,0.0804,35.4,307,307,0.26666666666666666,2025-26,2025-26-Georgia St.
Evansville,MVC,Mid-Major,37.9735131,-87.5322977,East Walnut Street,,141.1,0.091,5,0.1096,59.69,306,306,0.16666666666666666,2025-26,2025-26-Evansville
Notre Dame,ACC,Power,41.7045678,-86.2382203,West Pokagon Street,,62.0,0.444,19,0.3154,82.29,94,94,0.41935483870967744,2025-26,2025-26-Notre Dame
Morehead St.,OVC,Low-Major,38.1867483,-83.4332396,Gevedon Place,,275.6,0.091,2,0.0422,21.26,264,264,0.5666666666666667,2025-26,2025-26-Morehead St.
Pittsburgh,ACC,Power,40.444153,-79.962461,4200,,62.0,0.444,19,0.3154,82.29,104,104,0.3939393939393939,2025-26,2025-26-Pittsburgh
Robert Morris,Horizon,Low-Major,40.5215586,-80.2115783,6001,,221.2,0.091,3,0.089,36.8,147,147,0.6451612903225806,2025-26,2025-26-Robert Morris
Belmont,MVC,Mid-Major,36.1327716,-86.7925822,Acklen Avenue,,141.1,0.091,5,0.1096,59.69,63,63,0.8064516129032258,2025-26,2025-26-Belmont
UCLA,Big Ten,Power,34.0708777,-118.4468503,Los Angeles,,55.7,0.5,32,0.5892,84.09,31,31,0.6764705882352942,2025-26,2025-26-UCLA
Canisius,MAAC,Low-Major,42.9274386,-78.853529,Meech Street,,262.2,0.077,3,0.075,25.09,343,343,0.3,2025-26,2025-26-Canisius
Columbia,Ivy League,Low-Major,40.8077508,-73.9624901,Reunion Plaza,,188.6,0.125,3,0.0822,46.11,185,185,0.5384615384615384,2025-26,2025-26-Columbia
Dayton,Atlantic 10,Mid-Major,39.7383807,-84.1791678,Rubicon Street,,132.2,0.143,5,0.0838,62.23,69,69,0.696969696969697,2025-26,2025-26-Dayton
Virginia Tech,ACC,Power,37.2219268,-80.4272818,800,,62.0,0.444,19,0.3154,82.29,55,55,0.59375,2025-26,2025-26-Virginia Tech
James Madison,Sun Belt,Low-Major,38.4364404,-78.8689648,800,,226.1,0.071,4,0.0804,35.4,208,208,0.53125,2025-26,2025-26-James Madison
Kansas,Big 12,Power,38.9535052,-95.263093,1450,,48.9,0.5,25,0.557,86.03,21,21,0.696969696969697,2025-26,2025-26-Kansas
Missouri,SEC,Power,38.9364147,-92.329703,Columbia,,46.4,0.625,34,0.5916,86.74,58,58,0.625,2025-26,2025-26-Missouri
Princeton,Ivy League,Low-Major,40.3386752,-74.6583655,Canal Pointe Boulevard,,188.6,0.125,3,0.0822,46.11,249,249,0.2857142857142857,2025-26,2025-26-Princeton
SIUE,OVC,Low-Major,38.7941616,-90.0002789,1,,275.6,0.091,2,0.0422,21.26,259,259,0.5517241379310345,2025-26,2025-26-SIUE
Western Ill.,OVC,Low-Major,41.5139196,-90.492917,University Drive,,275.6,0.091,2,0.0422,21.26,364,364,0.07142857142857142,2025-26,2025-26-Western Ill.
Milwaukee,Horizon,Low-Major,43.077639,-87.8819425,2200,,221.2,0.091,3,0.089,36.8,253,253,0.3548387096774194,2025-26,2025-26-Milwaukee
Southern Ind.,OVC,Low-Major,37.9584686,-87.6742032,8600,,275.6,0.091,2,0.0422,21.26,345,345,0.17857142857142858,2025-26,2025-26-Southern Ind.
Pepperdine,WCC,Mid-Major,34.1388191,-118.707359,26750,,137.4,0.25,9,0.24100000000000002,60.74,274,274,0.23333333333333334,2025-26,2025-26-Pepperdine
San Diego St.,Mountain West,Mid-Major,32.7761529,-117.0733037,1,,113.7,0.083,17,0.3812,67.51,47,47,0.65625,2025-26,2025-26-San Diego St.
St. Thomas (MN),Summit League,Low-Major,44.9421059,-93.1894522,Summit Avenue,,238.9,0.111,3,0.0786,31.74,103,103,0.7,2025-26,2025-26-St. Thomas (MN)
Texas,SEC,Power,30.6108618,-96.3520606,400,,46.4,0.625,34,0.5916,86.74,42,42,0.5483870967741935,2025-26,2025-26-Texas
Jacksonville St.,CUSA,Low-Major,33.8154301,-85.7652896,115,,188.7,0.083,4,0.0954,46.09,216,216,0.41379310344827586,2025-26,2025-26-Jacksonville St.
Radford,Big South,Low-Major,37.1370242,-80.5499612,801,,236.7,0.111,3,0.085,32.37,252,252,0.4482758620689655,2025-26,2025-26-Radford
Boston College,ACC,Power,42.3354481,-71.1682665,Glen Avenue Branch,,62.0,0.444,19,0.3154,82.29,158,158,0.3548387096774194,2025-26,2025-26-Boston College
Nebraska,Big Ten,Power,40.8205941,-96.7026058,North 10th Street,,55.7,0.5,32,0.5892,84.09,14,14,0.8125,2025-26,2025-26-Nebraska
Penn,Ivy League,Low-Major,39.9531483,-75.1845715,Chestnut Street,,188.6,0.125,3,0.0822,46.11,148,148,0.5925925925925926,2025-26,2025-26-Penn
Middle Tenn.,CUSA,Low-Major,35.8486009,-86.3609036,1301,,188.7,0.083,4,0.0954,46.09,163,163,0.4827586206896552,2025-26,2025-26-Middle Tenn.
Mississippi St.,SEC,Power,33.4827921,-88.7364691,14279,,46.4,0.625,34,0.5916,86.74,112,112,0.40625,2025-26,2025-26-Mississippi St.
Valparaiso,MVC,Mid-Major,41.4629628,-87.044689,Silhavy Road,,141.1,0.091,5,0.1096,59.69,156,156,0.53125,2025-26,2025-26-Valparaiso
Marist,MAAC,Low-Major,41.722007,-73.9343836,3399,,262.2,0.077,3,0.075,25.09,181,181,0.6,2025-26,2025-26-Marist
New Haven,NEC,Low-Major,41.2909115,-72.9626379,Boston Post Road,,304.0,0.1,4,0.13540000000000002,13.14,325,325,0.39285714285714285,2025-26,2025-26-New Haven
Gonzaga,WCC,Mid-Major,47.6671026,-117.4030546,502,,137.4,0.25,9,0.24100000000000002,60.74,6,6,0.9090909090909091,2025-26,2025-26-Gonzaga
Arkansas,SEC,Power,36.0970389,-94.1703322,West Dinwiddlie Street,,46.4,0.625,34,0.5916,86.74,17,17,0.7575757575757576,2025-26,2025-26-Arkansas
Oklahoma,SEC,Power,35.1959878,-97.4457083,660,,46.4,0.625,34,0.5916,86.74,48,48,0.5588235294117647,2025-26,2025-26-Oklahoma
Iona,MAAC,Low-Major,40.9272305,-73.7856909,715;45,,262.2,0.077,3,0.075,25.09,237,237,0.5625,2025-26,2025-26-Iona
Alcorn,SWAC,Low-Major,31.8747584,-91.1386681,Willow Oak Lane,,315.8,0.083,3,0.0908,9.77,349,349,0.28125,2025-26,2025-26-Alcorn
FDU,NEC,Low-Major,40.8939339,-74.031982,Lone Pine Drive,,304.0,0.1,4,0.13540000000000002,13.14,334,334,0.27586206896551724,2025-26,2025-26-FDU
Grambling,SWAC,Low-Major,32.5195028,-92.7211638,403,,315.8,0.083,3,0.0908,9.77,305,305,0.3870967741935484,2025-26,2025-26-Grambling
Loyola Chicago,Atlantic 10,Mid-Major,41.9991492,-87.6573094,1032,,132.2,0.143,5,0.0838,62.23,278,278,0.2727272727272727,2025-26,2025-26-Loyola Chicago
The Citadel,SoCon,Low-Major,32.7963982,-79.9611833,171,,248.3,0.1,1,0.0222,29.06,346,346,0.26666666666666666,2025-26,2025-26-The Citadel
SFA,Southland,Low-Major,31.628015,-94.6522154,2724,,221.2,0.083,3,0.08020000000000001,36.8,89,89,0.8387096774193549,2025-26,2025-26-SFA
Sacramento St.,Big Sky,Low-Major,37.8703678,-122.2813466,University Avenue,,198.8,0.1,3,0.0708,43.2,269,269,0.25,2025-26,2025-26-Sacramento St.
Towson,CAA,Low-Major,39.3869768,-76.6185804,8000,,192.4,0.077,3,0.0756,45.03,159,159,0.53125,2025-26,2025-26-Towson
Saint Peter's,MAAC,Low-Major,40.7276245,-74.0721679,Montgomery Street,,262.2,0.077,3,0.075,25.09,233,233,0.5714285714285714,2025-26,2025-26-Saint Peter's
Ole Miss,SEC,Power,34.3646125,-89.5396349,Hickory Lane,,46.4,0.625,34,0.5916,86.74,82,82,0.42857142857142855,2025-26,2025-26-Ole Miss
Utah Tech,WAC,Low-Major,37.1030099,-113.5653354,225,,181.4,0.143,2,0.045,48.17,176,176,0.5161290322580645,2025-26,2025-26-Utah Tech
Yale,Ivy League,Low-Major,41.2571306,-72.9896696,West Haven,,188.6,0.125,3,0.0822,46.11,65,65,0.8148148148148148,2025-26,2025-26-Yale
Ark.-Pine Bluff,SWAC,Low-Major,34.2510901,-92.0289102,John Kennedy Drive,,315.8,0.083,3,0.0908,9.77,316,316,0.36666666666666664,2025-26,2025-26-Ark.-Pine Bluff
UMBC,America East,Low-Major,39.252377,-76.7089181,1000,,310.9,0.111,5,0.13140000000000002,11.17,196,196,0.7333333333333333,2025-26,2025-26-UMBC
FIU,CUSA,Low-Major,25.7553898,-80.3762833,11200,,188.7,0.083,4,0.0954,46.09,197,197,0.41379310344827586,2025-26,2025-26-FIU
Georgetown,Big East,Power,38.9089393,-77.0745796,3700,,67.5,0.273,19,0.487,80.71,90,90,0.47058823529411764,2025-26,2025-26-Georgetown
Stanford,ACC,Power,37.4313138,-122.1693654,450,,62.0,0.444,19,0.3154,82.29,61,61,0.625,2025-26,2025-26-Stanford
Toledo,MAC,Low-Major,41.6582432,-83.6147873,2801,,200.5,0.154,3,0.05700000000000001,42.71,130,130,0.53125,2025-26,2025-26-Toledo
Ball St.,MAC,Low-Major,40.2097296,-85.4112151,North Mann Avenue,,200.5,0.154,3,0.05700000000000001,42.71,299,299,0.3448275862068966,2025-26,2025-26-Ball St.
Chicago St.,NEC,Low-Major,28.05541,-82.4273086,2770,,304.0,0.1,4,0.13540000000000002,13.14,340,340,0.1935483870967742,2025-26,2025-26-Chicago St.
UNCW,CAA,Low-Major,34.2249827,-77.8690774,601,,192.4,0.077,3,0.0756,45.03,96,96,0.8,2025-26,2025-26-UNCW
Wright St.,Horizon,Low-Major,39.7842039,-84.0567799,3640,,221.2,0.091,3,0.089,36.8,127,127,0.65625,2025-26,2025-26-Wright St.
Troy,Sun Belt,Low-Major,31.8022234,-85.9556867,University Avenue,,226.1,0.071,4,0.0804,35.4,125,125,0.6451612903225806,2025-26,2025-26-Troy
NJIT,America East,Low-Major,40.7421254,-74.1790316,Sussex Avenue,,310.9,0.111,5,0.13140000000000002,11.17,327,327,0.46875,2025-26,2025-26-NJIT
VMI,SoCon,Low-Major,37.7913339,-79.4355152,319,,248.3,0.1,1,0.0222,29.06,359,359,0.10344827586206896,2025-26,2025-26-VMI
Binghamton,America East,Low-Major,42.0877998,-75.9706607,4400,,310.9,0.111,5,0.13140000000000002,11.17,360,360,0.17857142857142858,2025-26,2025-26-Binghamton
South Dakota St.,Summit League,Low-Major,44.344449,-96.7982371,Sunnyview Drive,,238.9,0.111,3,0.0786,31.74,210,210,0.3793103448275862,2025-26,2025-26-South Dakota St.
Harvard,Ivy League,Low-Major,42.3657432,-71.1222139,Channing Place,,188.6,0.125,3,0.0822,46.11,152,152,0.5714285714285714,2025-26,2025-26-Harvard
UC Santa Barbara,Big West,Low-Major,34.4146025,-119.84581,Santa Barbara,,192.0,0.091,1,0.025,45.14,142,142,0.5333333333333333,2025-26,2025-26-UC Santa Barbara
Fla. Atlantic,American,Low-Major,26.3743445,-80.1027236,777,,160.3,0.077,8,0.1528,54.2,123,123,0.5161290322580645,2025-26,2025-26-Fla. Atlantic
Weber St.,Big Sky,Low-Major,41.1920906,-111.9391269,3848,,198.8,0.1,3,0.0708,43.2,202,202,0.4666666666666667,2025-26,2025-26-Weber St.
Boston U.,Patriot,Low-Major,42.3504215,-71.1032247,Short Street,,280.7,0.1,5,0.1538,19.8,263,263,0.48484848484848486,2025-26,2025-26-Boston U.
Wake Forest,ACC,Power,36.133893,-80.2755578,1834,,62.0,0.444,19,0.3154,82.29,67,67,0.5151515151515151,2025-26,2025-26-Wake Forest
West Virginia,Big 12,Power,39.6348398,-79.9542095,Cherry Lane,,48.9,0.5,25,0.557,86.03,59,59,0.5625,2025-26,2025-26-West Virginia
Central Ark.,ASUN,Low-Major,35.0776411,-92.4579926,201,,259.9,0.083,4,0.0816,25.74,166,166,0.625,2025-26,2025-26-Central Ark.
Jackson St.,SWAC,Low-Major,41.5531468,-87.3438448,University Park,,315.8,0.083,3,0.0908,9.77,347,347,0.36363636363636365,2025-26,2025-26-Jackson St.
Lehigh,Patriot,Low-Major,40.6068028,-75.3782488,Library Drive,,280.7,0.1,5,0.1538,19.8,275,275,0.5,2025-26,2025-26-Lehigh
USC Upstate,Big South,Low-Major,34.9525837,-81.9307048,160,,236.7,0.111,3,0.085,32.37,303,303,0.3448275862068966,2025-26,2025-26-USC Upstate
