Team,Conference,Conference_Tier,Latitude,Longitude,City,State,Conf_Avg_NET,Conf_Tournament_Rate,Conf_Tourney_Teams_5yr,Conf_Avg_Tournament_Rate_5yr,Conf_Strength_Score,NET Rank,NET_Rank,Win_Pct,Season,RecordID,Conf_Tier_4,BidRate_Pct,Best_NET_Score,Avg_Q1_Wins,Avg_SOS,Tournament_Bids_2026,Total_Bids_5yr,BidRate_5yr_Pct,Tier_Norm_Strength,Tier_Norm_BidRate,Tier_Norm_Q1Wins,Tier_Norm_BestNET,Tier_Norm_Composite,Composite_Raw,Tier_Rank,Tier_Rank_Score,Tier_Strength_Rank,Strength_Amplified,Strength_Multiplied
Murray St.,MVC,Mid-Major,36.6129699,-88.322088,Olive Boulevard,,141.1,0.091,5,0.1096,59.69,105,105,0.625,2025-26,2025-26-Murray St.,Mid-Major,9.1,82.0,0.45,135.4,1,5,10.96,100.0,24.1,100.0,87.33,100.0,70.9,1,100.0,1,2454.0,5969.0
Virginia,ACC,Power,38.0410576,-78.5055084,Goodwin Bridge,,62.0,0.444,19,0.3154,82.29,12,12,0.8529411764705882,2025-26,2025-26-Virginia,Power,44.4,99.71,4.5,53.8,8,19,31.54,26.2,48.58,67.44,100.0,65.16,59.1,4,25.0,4,183.0,8229.0
UMass Lowell,America East,Low-Major,42.6519097,-71.3173628,Cross Street,,310.9,0.111,5,0.1314,11.17,321,321,0.4,2025-26,2025-26-UMass Lowell,Low-Major,11.1,44.0,0.0,313.4,1,5,13.14,14.43,70.83,0.0,31.71,47.72,34.02,10,35.71,13,596.0,1117.0
Lindenwood,OVC,Low-Major,38.5230861,-90.01096,2600,,275.6,0.091,2,0.0422,21.26,262,262,0.5,2025-26,2025-26-Lindenwood,Low-Major,9.1,50.86,0.0,311.8,1,2,4.22,39.93,29.17,0.0,43.42,35.31,26.88,11,28.57,10,1605.0,2126.0
Mississippi Val.,SWAC,Low-Major,33.5138,-90.34,Itta Bena,MS,315.8,0.083,3,0.0908,9.77,365,365,0.0625,2025-26,2025-26-Mississippi Val.,Low-Major,8.3,25.43,0.0,229.5,1,3,9.08,10.89,12.5,0.0,0.0,0.0,6.55,15,0.0,14,456.0,977.0
Cornell,Ivy League,Low-Major,42.4529076,-76.4800842,City of Ithaca,,188.6,0.125,3,0.0822,46.11,149,149,0.5,2025-26,2025-26-Cornell,Mid-Major,12.5,81.43,0.12,206.1,1,3,8.22,44.09,65.06,26.67,84.52,76.51,55.16,3,66.67,3,1096.0,4611.0
A&M-Corpus Christi,Southland,Low-Major,27.7127514,-97.3233877,Starfish Lane,,221.2,0.083,3,0.0802,36.8,191,191,0.4827586206896552,2025-26,2025-26-A&M-Corpus Christi,Low-Major,8.3,84.0,0.08,189.6,1,3,8.02,79.2,12.5,88.89,100.0,97.08,62.44,2,92.86,3,3159.0,3680.0
Akron,MAC,Low-Major,41.0757383,-81.5114532,Wolf Ledges Parkway,,200.5,0.154,3,0.057,42.71,54,54,0.84375,2025-26,2025-26-Akron,Mid-Major,15.4,84.57,0.08,209.9,2,3,5.7,30.09,100.0,17.78,100.0,91.88,65.46,2,83.33,6,756.0,4271.0
Wagner,NEC,Low-Major,35.3071604,-80.7373778,Toby Creek Greenway,,304.0,0.1,4,0.1354,13.14,302,302,0.3928571428571428,2025-26,2025-26-Wagner,Low-Major,10.0,43.43,0.0,297.4,1,4,13.54,19.41,47.92,0.0,30.73,35.17,26.8,12,21.43,12,793.0,1314.0
Mercyhurst,NEC,Low-Major,42.1041456,-80.0538851,501,,304.0,0.1,4,0.1354,13.14,277,277,0.46875,2025-26,2025-26-Mercyhurst,Low-Major,10.0,43.43,0.0,297.4,1,4,13.54,19.41,47.92,0.0,30.73,35.17,26.8,12,21.43,12,793.0,1314.0
UNLV,Mountain West,Mid-Major,36.1079411,-115.1439051,Las Vegas,,113.7,0.083,17,0.3812,67.51,111,111,0.5,2025-26,2025-26-UNLV,High-Major,8.3,92.57,1.92,87.8,1,17,38.12,100.0,3.47,100.0,48.7,75.95,55.95,2,66.67,1,1356.0,6751.0
Colgate,Patriot,Low-Major,42.8154037,-75.5395816,Broad Street,,280.7,0.1,5,0.1538,19.8,226,226,0.5161290322580645,2025-26,2025-26-Colgate,Low-Major,10.0,61.14,0.0,311.1,1,5,15.38,36.24,47.92,0.0,60.97,51.52,36.21,9,42.86,11,1459.0,1980.0
Texas Tech,Big 12,Power,33.5937526,-101.8995955,2500,,48.9,0.5,25,0.557,86.03,19,19,0.6875,2025-26,2025-26-Texas Tech,Power,50.0,99.14,5.62,30.3,8,25,55.7,88.23,64.49,100.0,77.82,89.06,80.78,2,75.0,2,557.0,8603.0
UTEP,CUSA,Low-Major,31.7702,-106.5044,El Paso,TX,188.7,0.083,4,0.0954,46.09,268,268,0.2857142857142857,2025-26,2025-26-UTEP,Mid-Major,8.3,69.71,0.08,226.5,1,4,9.54,44.01,14.46,17.78,26.73,29.49,23.65,6,16.67,4,1094.0,4609.0
Oregon St.,WCC,Mid-Major,45.5161924,-122.6807637,620,,137.4,0.25,9,0.241,60.74,170,170,0.5151515151515151,2025-26,2025-26-Oregon St.,High-Major,25.0,98.29,1.08,101.2,3,9,24.1,49.14,100.0,35.38,100.0,100.0,73.67,1,100.0,3,679.0,6074.0
NC State,ACC,Power,35.7718497,-78.674087,Pullen Road,,62.0,0.444,19,0.3154,82.29,36,36,0.6060606060606061,2025-26,2025-26-NC State,Power,44.4,99.71,4.5,53.8,8,19,31.54,26.2,48.58,67.44,100.0,65.16,59.1,4,25.0,4,183.0,8229.0
Iowa,Big Ten,Power,41.6682891,-91.5795068,North Riverside Drive,,55.7,0.5,32,0.5892,84.09,27,27,0.6363636363636364,2025-26,2025-26-Iowa,Power,50.0,99.43,4.83,29.6,9,32,58.92,56.05,64.49,77.03,89.11,78.13,70.86,3,50.0,3,363.0,8409.0
Green Bay,Horizon,Low-Major,44.5328424,-87.9198844,2420,,221.2,0.091,3,0.089,36.8,217,217,0.5161290322580645,2025-26,2025-26-Green Bay,Low-Major,9.1,63.71,0.09,241.9,1,3,8.9,79.2,29.17,100.0,65.36,100.0,64.12,1,100.0,3,3159.0,3680.0
Alabama,SEC,Power,33.2120822,-87.5396735,Julia Tutwiler Drive,,46.4,0.625,34,0.5916,86.74,18,18,0.71875,2025-26,2025-26-Alabama,Power,62.5,98.86,5.25,27.9,10,34,59.16,100.0,100.0,89.24,66.93,100.0,90.7,1,100.0,1,628.0,8674.0
Texas St.,Sun Belt,Low-Major,33.2161837,-97.1452758,Ponder Street,,226.1,0.071,4,0.0804,35.4,235,235,0.5666666666666667,2025-26,2025-26-Texas St.,Mid-Major,7.1,64.29,0.07,287.9,1,4,8.04,0.0,0.0,15.56,0.0,0.0,3.89,7,0.0,7,25.0,3540.0
LSU,SEC,Power,30.4062005,-91.1854129,Normal Place,,46.4,0.625,34,0.5916,86.74,78,78,0.46875,2025-26,2025-26-LSU,Power,62.5,98.86,5.25,27.9,10,34,59.16,100.0,100.0,89.24,66.93,100.0,90.7,1,100.0,1,628.0,8674.0
CSUN,Big West,Low-Major,34.2455346,-118.5263221,Northridge,,192.0,0.091,1,0.025,45.14,188,188,0.5625,2025-26,2025-26-CSUN,Mid-Major,9.1,71.14,0.09,221.9,1,1,2.5,40.1,24.1,20.0,33.78,36.29,28.21,5,33.33,5,999.0,4514.0
Hampton,CAA,Low-Major,37.0210096,-76.3386255,100,,192.4,0.077,3,0.0756,45.03,270,270,0.3666666666666666,2025-26,2025-26-Hampton,Low-Major,7.7,74.86,0.0,242.3,1,3,7.56,100.0,0.0,0.0,84.39,52.68,36.88,8,50.0,1,3982.0,4503.0
North Texas,American,Low-Major,33.2098926,-97.1514762,1155,,160.3,0.077,8,0.1528,54.2,137,137,0.5483870967741935,2025-26,2025-26-North Texas,High-Major,7.7,87.14,0.62,135.8,1,8,15.28,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,4,25.0,5420.0
Sam Houston,CUSA,Low-Major,30.7133471,-95.5449136,1905,,188.7,0.083,4,0.0954,46.09,107,107,0.6333333333333333,2025-26,2025-26-Sam Houston,Mid-Major,8.3,69.71,0.08,226.5,1,4,9.54,44.01,14.46,17.78,26.73,29.49,23.65,6,16.67,4,1094.0,4609.0
UC Davis,Big West,Low-Major,38.5337904,-121.7907544,Davis,,192.0,0.091,1,0.025,45.14,178,178,0.5483870967741935,2025-26,2025-26-UC Davis,Mid-Major,9.1,71.14,0.09,221.9,1,1,2.5,40.1,24.1,20.0,33.78,36.29,28.21,5,33.33,5,999.0,4514.0
N.C. Central,MEAC,Low-Major,35.9742,-78.8986,Durham,NC,330.9,0.125,5,0.1414,5.46,342,342,0.3571428571428571,2025-26,2025-26-N.C. Central,Low-Major,12.5,42.0,0.0,273.1,1,5,14.14,0.0,100.0,0.0,28.29,59.25,40.66,6,64.29,15,25.0,546.0
Air Force,Mountain West,Mid-Major,39.008415,-104.8903879,2306,,113.7,0.083,17,0.3812,67.51,350,350,0.09375,2025-26,2025-26-Air Force,High-Major,8.3,92.57,1.92,87.8,1,17,38.12,100.0,3.47,100.0,48.7,75.95,55.95,2,66.67,1,1356.0,6751.0
Morgan St.,MEAC,Low-Major,39.3446663,-76.5836094,1700,,330.9,0.125,5,0.1414,5.46,352,352,0.4074074074074074,2025-26,2025-26-Morgan St.,Low-Major,12.5,42.0,0.0,273.1,1,5,14.14,0.0,100.0,0.0,28.29,59.25,40.66,6,64.29,15,25.0,546.0
Cincinnati,Big 12,Power,39.1134631,-84.5544375,Claypole Avenue,,48.9,0.5,25,0.557,86.03,49,49,0.5454545454545454,2025-26,2025-26-Cincinnati,Power,50.0,99.14,5.62,30.3,8,25,55.7,88.23,64.49,100.0,77.82,89.06,80.78,2,75.0,2,557.0,8603.0
Tennessee St.,OVC,Low-Major,36.1679249,-86.8271487,Albion Street,,275.6,0.091,2,0.0422,21.26,172,172,0.6896551724137931,2025-26,2025-26-Tennessee St.,Low-Major,9.1,50.86,0.0,311.8,1,2,4.22,39.93,29.17,0.0,43.42,35.31,26.88,11,28.57,10,1605.0,2126.0
Quinnipiac,MAAC,Low-Major,41.4181949,-72.8931049,275,,262.2,0.077,3,0.075,25.09,211,211,0.5806451612903226,2025-26,2025-26-Quinnipiac,Low-Major,7.7,48.57,0.0,313.5,1,3,7.5,49.61,0.0,0.0,39.51,19.58,17.82,14,7.14,9,1988.0,2509.0
Little Rock,OVC,Low-Major,34.7223681,-92.3383026,2801,,275.6,0.091,2,0.0422,21.26,309,309,0.3333333333333333,2025-26,2025-26-Little Rock,Low-Major,9.1,50.86,0.0,311.8,1,2,4.22,39.93,29.17,0.0,43.42,35.31,26.88,11,28.57,10,1605.0,2126.0
Wisconsin,Big Ten,Power,43.0802745,-89.4309587,University Houses,,55.7,0.5,32,0.5892,84.09,25,25,0.7058823529411765,2025-26,2025-26-Wisconsin,Power,50.0,99.43,4.83,29.6,9,32,58.92,56.05,64.49,77.03,89.11,78.13,70.86,3,50.0,3,363.0,8409.0
Long Beach St.,Big West,Low-Major,33.7817709,-118.1152001,Long Beach,,192.0,0.091,1,0.025,45.14,257,257,0.2666666666666666,2025-26,2025-26-Long Beach St.,Mid-Major,9.1,71.14,0.09,221.9,1,1,2.5,40.1,24.1,20.0,33.78,36.29,28.21,5,33.33,5,999.0,4514.0
Minnesota,Big Ten,Power,44.9863418,-93.1794451,Twin Cities Campus,,55.7,0.5,32,0.5892,84.09,80,80,0.46875,2025-26,2025-26-Minnesota,Power,50.0,99.43,4.83,29.6,9,32,58.92,56.05,64.49,77.03,89.11,78.13,70.86,3,50.0,3,363.0,8409.0
Samford,SoCon,Low-Major,33.4641484,-86.7939592,Shades Creek Greenway (Lakeshore Trail),,248.3,0.1,1,0.0222,29.06,218,218,0.5333333333333333,2025-26,2025-26-Samford,Low-Major,10.0,60.29,0.0,291.6,1,1,2.22,59.64,47.92,0.0,59.52,59.15,40.6,7,57.14,7,2385.0,2906.0
Houston Christian,Southland,Low-Major,29.6944292,-95.5147559,7502,,221.2,0.083,3,0.0802,36.8,294,294,0.3333333333333333,2025-26,2025-26-Houston Christian,Low-Major,8.3,84.0,0.08,189.6,1,3,8.02,79.2,12.5,88.89,100.0,97.08,62.44,2,92.86,3,3159.0,3680.0
Eastern Ill.,OVC,Low-Major,39.4842,-88.1753,Charleston,IL,275.6,0.091,2,0.0422,21.26,320,320,0.3333333333333333,2025-26,2025-26-Eastern Ill.,Low-Major,9.1,50.86,0.0,311.8,1,2,4.22,39.93,29.17,0.0,43.42,35.31,26.88,11,28.57,10,1605.0,2126.0
New Hampshire,America East,Low-Major,43.1350987,-70.9462079,105,,310.9,0.111,5,0.1314,11.17,348,348,0.25,2025-26,2025-26-New Hampshire,Low-Major,11.1,44.0,0.0,313.4,1,5,13.14,14.43,70.83,0.0,31.71,47.72,34.02,10,35.71,13,596.0,1117.0
Siena,MAAC,Low-Major,41.9062844,-84.0179652,1247,,262.2,0.077,3,0.075,25.09,183,183,0.6764705882352942,2025-26,2025-26-Siena,Low-Major,7.7,48.57,0.0,313.5,1,3,7.5,49.61,0.0,0.0,39.51,19.58,17.82,14,7.14,9,1988.0,2509.0
Grand Canyon,Mountain West,Mid-Major,33.5131857,-112.127183,3300,,113.7,0.083,17,0.3812,67.51,71,71,0.625,2025-26,2025-26-Grand Canyon,High-Major,8.3,92.57,1.92,87.8,1,17,38.12,100.0,3.47,100.0,48.7,75.95,55.95,2,66.67,1,1356.0,6751.0
High Point,Big South,Low-Major,35.9720859,-79.9936582,Blessing Way,,236.7,0.111,3,0.085,32.37,76,76,0.8709677419354839,2025-26,2025-26-High Point,Low-Major,11.1,78.29,0.0,248.2,1,3,8.5,68.01,70.83,0.0,90.25,86.66,56.44,3,85.71,5,2716.0,3237.0
Oregon,Big Ten,Power,44.0444197,-123.0717603,1585,,55.7,0.5,32,0.5892,84.09,109,109,0.375,2025-26,2025-26-Oregon,Power,50.0,99.43,4.83,29.6,9,32,58.92,56.05,64.49,77.03,89.11,78.13,70.86,3,50.0,3,363.0,8409.0
Texas Southern,SWAC,Low-Major,29.7209058,-95.3596267,Ruth Street,,315.8,0.083,3,0.0908,9.77,322,322,0.3571428571428571,2025-26,2025-26-Texas Southern,Low-Major,8.3,25.43,0.0,229.5,1,3,9.08,10.89,12.5,0.0,0.0,0.0,6.55,15,0.0,14,456.0,977.0
N.C. A&T,CAA,Low-Major,36.0726,-79.773,Greensboro,NC,192.4,0.077,3,0.0756,45.03,276,276,0.3214285714285714,2025-26,2025-26-N.C. A&T,Low-Major,7.7,74.86,0.0,242.3,1,3,7.56,100.0,0.0,0.0,84.39,52.68,36.88,8,50.0,1,3982.0,4503.0
Northwestern St.,Southland,Low-Major,29.7215812,-95.4400102,Greenway / Upper Kirby,,221.2,0.083,3,0.0802,36.8,301,301,0.2666666666666666,2025-26,2025-26-Northwestern St.,Low-Major,8.3,84.0,0.08,189.6,1,3,8.02,79.2,12.5,88.89,100.0,97.08,62.44,2,92.86,3,3159.0,3680.0
Prairie View,SWAC,Low-Major,30.0960955,-95.9870007,700,,315.8,0.083,3,0.0908,9.77,300,300,0.4516129032258064,2025-26,2025-26-Prairie View,Low-Major,8.3,25.43,0.0,229.5,1,3,9.08,10.89,12.5,0.0,0.0,0.0,6.55,15,0.0,14,456.0,977.0
Seton Hall,Big East,Power,40.7433314,-74.2468921,Gardner Avenue,,67.5,0.273,19,0.487,80.71,53,53,0.6363636363636364,2025-26,2025-26-Seton Hall,Power,27.3,97.14,2.18,66.5,3,19,48.7,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,5,25.0,8071.0
Indiana St.,MVC,Mid-Major,38.9527388,-95.2430182,University Place,,141.1,0.091,5,0.1096,59.69,213,213,0.3,2025-26,2025-26-Indiana St.,Mid-Major,9.1,82.0,0.45,135.4,1,5,10.96,100.0,24.1,100.0,87.33,100.0,70.9,1,100.0,1,2454.0,5969.0
San Diego,WCC,Mid-Major,32.7726302,-117.1891347,5998,,137.4,0.25,9,0.241,60.74,234,234,0.3225806451612903,2025-26,2025-26-San Diego,High-Major,25.0,98.29,1.08,101.2,3,9,24.1,49.14,100.0,35.38,100.0,100.0,73.67,1,100.0,3,679.0,6074.0
La Salle,Atlantic 10,Mid-Major,40.0376298,-75.1540025,East Penn Street,,132.2,0.143,5,0.0838,62.23,246,246,0.2580645161290322,2025-26,2025-26-La Salle,High-Major,14.3,91.43,0.93,120.9,2,5,8.38,60.33,38.15,23.85,38.48,53.05,39.08,3,33.33,2,828.0,6223.0
Southeast Mo. St.,OVC,Low-Major,37.3175802,-89.5284899,North Frederick Street,,275.6,0.091,2,0.0422,21.26,224,224,0.5666666666666667,2025-26,2025-26-Southeast Mo. St.,Low-Major,9.1,50.86,0.0,311.8,1,2,4.22,39.93,29.17,0.0,43.42,35.31,26.88,11,28.57,10,1605.0,2126.0
Texas A&M,SEC,Power,30.6108618,-96.3520606,400,,46.4,0.625,34,0.5916,86.74,44,44,0.65625,2025-26,2025-26-Texas A&M,Power,62.5,98.86,5.25,27.9,10,34,59.16,100.0,100.0,89.24,66.93,100.0,90.7,1,100.0,1,628.0,8674.0
Purdue Fort Wayne,Horizon,Low-Major,41.1210815,-85.1057891,2101,,221.2,0.091,3,0.089,36.8,254,254,0.4827586206896552,2025-26,2025-26-Purdue Fort Wayne,Low-Major,9.1,63.71,0.09,241.9,1,3,8.9,79.2,29.17,100.0,65.36,100.0,64.12,1,100.0,3,3159.0,3680.0
Detroit Mercy,Horizon,Low-Major,42.4140319,-83.1378601,4001,,221.2,0.091,3,0.089,36.8,221,221,0.5,2025-26,2025-26-Detroit Mercy,Low-Major,9.1,63.71,0.09,241.9,1,3,8.9,79.2,29.17,100.0,65.36,100.0,64.12,1,100.0,3,3159.0,3680.0
New Mexico St.,CUSA,Low-Major,32.2729032,-106.7434927,1780,,188.7,0.083,4,0.0954,46.09,190,190,0.4482758620689655,2025-26,2025-26-New Mexico St.,Mid-Major,8.3,69.71,0.08,226.5,1,4,9.54,44.01,14.46,17.78,26.73,29.49,23.65,6,16.67,4,1094.0,4609.0
Saint Francis,NEC,Low-Major,40.5034672,-78.6382564,117,,304.0,0.1,4,0.1354,13.14,353,353,0.1724137931034483,2025-26,2025-26-Saint Francis,Low-Major,10.0,43.43,0.0,297.4,1,4,13.54,19.41,47.92,0.0,30.73,35.17,26.8,12,21.43,12,793.0,1314.0
Delaware,CUSA,Low-Major,39.6802837,-75.7530984,Academy Street,,188.7,0.083,4,0.0954,46.09,287,287,0.3333333333333333,2025-26,2025-26-Delaware,Mid-Major,8.3,69.71,0.08,226.5,1,4,9.54,44.01,14.46,17.78,26.73,29.49,23.65,6,16.67,4,1094.0,4609.0
Richmond,Atlantic 10,Mid-Major,37.5758797,-77.5412837,28,,132.2,0.143,5,0.0838,62.23,165,165,0.4516129032258064,2025-26,2025-26-Richmond,High-Major,14.3,91.43,0.93,120.9,2,5,8.38,60.33,38.15,23.85,38.48,53.05,39.08,3,33.33,2,828.0,6223.0
Missouri St.,CUSA,Low-Major,38.7086398,-90.3117145,Clearview Drive,,188.7,0.083,4,0.0954,46.09,206,206,0.4193548387096774,2025-26,2025-26-Missouri St.,Mid-Major,8.3,69.71,0.08,226.5,1,4,9.54,44.01,14.46,17.78,26.73,29.49,23.65,6,16.67,4,1094.0,4609.0
App State,Sun Belt,Low-Major,36.2120057,-81.6789456,287,,226.1,0.071,4,0.0804,35.4,192,192,0.5666666666666667,2025-26,2025-26-App State,Mid-Major,7.1,64.29,0.07,287.9,1,4,8.04,0.0,0.0,15.56,0.0,0.0,3.89,7,0.0,7,25.0,3540.0
George Mason,Atlantic 10,Mid-Major,38.8313333,-77.3079884,4400,,132.2,0.143,5,0.0838,62.23,92,92,0.7096774193548387,2025-26,2025-26-George Mason,High-Major,14.3,91.43,0.93,120.9,2,5,8.38,60.33,38.15,23.85,38.48,53.05,39.08,3,33.33,2,828.0,6223.0
ETSU,SoCon,Low-Major,36.3024236,-82.3692822,1276,,248.3,0.1,1,0.0222,29.06,139,139,0.65625,2025-26,2025-26-ETSU,Low-Major,10.0,60.29,0.0,291.6,1,1,2.22,59.64,47.92,0.0,59.52,59.15,40.6,7,57.14,7,2385.0,2906.0
UNI,MVC,Mid-Major,42.5149569,-92.4629522,1227,,141.1,0.091,5,0.1096,59.69,72,72,0.6470588235294118,2025-26,2025-26-UNI,Mid-Major,9.1,82.0,0.45,135.4,1,5,10.96,100.0,24.1,100.0,87.33,100.0,70.9,1,100.0,1,2454.0,5969.0
Fairfield,MAAC,Low-Major,41.1596757,-73.2574031,1073,,262.2,0.077,3,0.075,25.09,240,240,0.6060606060606061,2025-26,2025-26-Fairfield,Low-Major,7.7,48.57,0.0,313.5,1,3,7.5,49.61,0.0,0.0,39.51,19.58,17.82,14,7.14,9,1988.0,2509.0
Old Dominion,Sun Belt,Low-Major,36.8862699,-76.3097248,5115,,226.1,0.071,4,0.0804,35.4,255,255,0.34375,2025-26,2025-26-Old Dominion,Mid-Major,7.1,64.29,0.07,287.9,1,4,8.04,0.0,0.0,15.56,0.0,0.0,3.89,7,0.0,7,25.0,3540.0
Drake,MVC,Mid-Major,41.6030742,-93.6552753,29th Street,,141.1,0.091,5,0.1096,59.69,199,199,0.375,2025-26,2025-26-Drake,Mid-Major,9.1,82.0,0.45,135.4,1,5,10.96,100.0,24.1,100.0,87.33,100.0,70.9,1,100.0,1,2454.0,5969.0
North Carolina,ACC,Power,35.9050354,-79.0477533,Ray Road,,62.0,0.444,19,0.3154,82.29,24,24,0.75,2025-26,2025-26-North Carolina,Power,44.4,99.71,4.5,53.8,8,19,31.54,26.2,48.58,67.44,100.0,65.16,59.1,4,25.0,4,183.0,8229.0
Houston,Big 12,Power,29.7207902,-95.3440627,4800,,48.9,0.5,25,0.557,86.03,5,5,0.8235294117647058,2025-26,2025-26-Houston,Power,50.0,99.14,5.62,30.3,8,25,55.7,88.23,64.49,100.0,77.82,89.06,80.78,2,75.0,2,557.0,8603.0
Western Caro.,SoCon,Low-Major,35.3100146,-83.1990402,65,,248.3,0.1,1,0.0222,29.06,228,228,0.4482758620689655,2025-26,2025-26-Western Caro.,Low-Major,10.0,60.29,0.0,291.6,1,1,2.22,59.64,47.92,0.0,59.52,59.15,40.6,7,57.14,7,2385.0,2906.0
Ohio,MAC,Low-Major,39.3241782,-82.1015648,West Union Street,,200.5,0.154,3,0.057,42.71,231,231,0.4333333333333333,2025-26,2025-26-Ohio,Mid-Major,15.4,84.57,0.08,209.9,2,3,5.7,30.09,100.0,17.78,100.0,91.88,65.46,2,83.33,6,756.0,4271.0
Rice,American,Low-Major,29.7167915,-95.4047811,6100,,160.3,0.077,8,0.1528,54.2,243,243,0.3793103448275862,2025-26,2025-26-Rice,High-Major,7.7,87.14,0.62,135.8,1,8,15.28,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,4,25.0,5420.0
South Alabama,Sun Belt,Low-Major,30.6972412,-88.1892334,307,,226.1,0.071,4,0.0804,35.4,187,187,0.6333333333333333,2025-26,2025-26-South Alabama,Mid-Major,7.1,64.29,0.07,287.9,1,4,8.04,0.0,0.0,15.56,0.0,0.0,3.89,7,0.0,7,25.0,3540.0
UC San Diego,Big West,Low-Major,32.8792438,-117.2311247,San Diego,,192.0,0.091,1,0.025,45.14,124,124,0.65625,2025-26,2025-26-UC San Diego,Mid-Major,9.1,71.14,0.09,221.9,1,1,2.5,40.1,24.1,20.0,33.78,36.29,28.21,5,33.33,5,999.0,4514.0
Bucknell,Patriot,Low-Major,40.9515356,-76.8879603,Westbranch Highway,,280.7,0.1,5,0.1538,19.8,333,333,0.303030303030303,2025-26,2025-26-Bucknell,Low-Major,10.0,61.14,0.0,311.1,1,5,15.38,36.24,47.92,0.0,60.97,51.52,36.21,9,42.86,11,1459.0,1980.0
UNC Asheville,Big South,Low-Major,35.6171,-82.5663,Asheville,NC,236.7,0.111,3,0.085,32.37,239,239,0.4137931034482758,2025-26,2025-26-UNC Asheville,Low-Major,11.1,78.29,0.0,248.2,1,3,8.5,68.01,70.83,0.0,90.25,86.66,56.44,3,85.71,5,2716.0,3237.0
Pacific,WCC,Mid-Major,45.5226463,-123.1093187,2043,,137.4,0.25,9,0.241,60.74,116,116,0.5161290322580645,2025-26,2025-26-Pacific,High-Major,25.0,98.29,1.08,101.2,3,9,24.1,49.14,100.0,35.38,100.0,100.0,73.67,1,100.0,3,679.0,6074.0
Wyoming,Mountain West,Mid-Major,41.314986,-105.5643222,1000,,113.7,0.083,17,0.3812,67.51,99,99,0.5483870967741935,2025-26,2025-26-Wyoming,High-Major,8.3,92.57,1.92,87.8,1,17,38.12,100.0,3.47,100.0,48.7,75.95,55.95,2,66.67,1,1356.0,6751.0
Vermont,America East,Low-Major,44.4737365,-73.1941468,Colchester Avenue,,310.9,0.111,5,0.1314,11.17,227,227,0.625,2025-26,2025-26-Vermont,Low-Major,11.1,44.0,0.0,313.4,1,5,13.14,14.43,70.83,0.0,31.71,47.72,34.02,10,35.71,13,596.0,1117.0
Bethune-Cookman,SWAC,Low-Major,29.2118536,-81.0319825,640,,315.8,0.083,3,0.0908,9.77,261,261,0.5161290322580645,2025-26,2025-26-Bethune-Cookman,Low-Major,8.3,25.43,0.0,229.5,1,3,9.08,10.89,12.5,0.0,0.0,0.0,6.55,15,0.0,14,456.0,977.0
Santa Clara,WCC,Mid-Major,37.3486243,-121.936544,500,,137.4,0.25,9,0.241,60.74,40,40,0.7575757575757576,2025-26,2025-26-Santa Clara,High-Major,25.0,98.29,1.08,101.2,3,9,24.1,49.14,100.0,35.38,100.0,100.0,73.67,1,100.0,3,679.0,6074.0
Georgia Tech,ACC,Power,33.7760948,-84.3988077,North Avenue Turn Around,,62.0,0.444,19,0.3154,82.29,169,169,0.3548387096774194,2025-26,2025-26-Georgia Tech,Power,44.4,99.71,4.5,53.8,8,19,31.54,26.2,48.58,67.44,100.0,65.16,59.1,4,25.0,4,183.0,8229.0
Le Moyne,NEC,Low-Major,43.0451,-76.0824,Syracuse,NY,304.0,0.1,4,0.1354,13.14,290,290,0.4516129032258064,2025-26,2025-26-Le Moyne,Low-Major,10.0,43.43,0.0,297.4,1,4,13.54,19.41,47.92,0.0,30.73,35.17,26.8,12,21.43,12,793.0,1314.0
Charleston So.,Big South,Low-Major,36.1591665,-115.16161,University Medical Center,,236.7,0.111,3,0.085,32.37,242,242,0.4137931034482758,2025-26,2025-26-Charleston So.,Low-Major,11.1,78.29,0.0,248.2,1,3,8.5,68.01,70.83,0.0,90.25,86.66,56.44,3,85.71,5,2716.0,3237.0
Arizona,Big 12,Power,32.235681,-110.951744,North Olsen Avenue,,48.9,0.5,25,0.557,86.03,3,3,0.9411764705882352,2025-26,2025-26-Arizona,Power,50.0,99.14,5.62,30.3,8,25,55.7,88.23,64.49,100.0,77.82,89.06,80.78,2,75.0,2,557.0,8603.0
Central Mich.,MAC,Low-Major,43.58355,-84.7746308,1200,,200.5,0.154,3,0.057,42.71,280,280,0.2758620689655172,2025-26,2025-26-Central Mich.,Mid-Major,15.4,84.57,0.08,209.9,2,3,5.7,30.09,100.0,17.78,100.0,91.88,65.46,2,83.33,6,756.0,4271.0
Southeastern La.,Southland,Low-Major,30.5182254,-90.4688149,North Magnolia Street,,221.2,0.083,3,0.0802,36.8,295,295,0.2666666666666666,2025-26,2025-26-Southeastern La.,Low-Major,8.3,84.0,0.08,189.6,1,3,8.02,79.2,12.5,88.89,100.0,97.08,62.44,2,92.86,3,3159.0,3680.0
